available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain
20,70760,0,258,2016-09-14T19:39:20,13.6,93,14.5,3,0.0
20,71418,0,258,2016-09-14T19:50:18,13.6,93,14.5,3,0.0
21,72013,0,258,2016-09-14T20:00:13,13.6,93,14.5,3,0.0
20,72623,0,258,2016-09-14T20:10:23,13.6,93,14.5,3,0.0
23,73211,0,258,2016-09-14T20:20:11,13.6,93,14.5,3,0.0
23,74114,0,258,2016-09-14T20:35:14,13.2,98,14.8,3,0.0
23,74721,0,258,2016-09-14T20:45:21,13.2,98,14.8,3,0.0
26,75306,0,258,2016-09-14T20:55:06,13.2,98,14.8,3,0.0
25,76216,0,258,2016-09-14T21:10:16,13.2,98,14.8,3,0.0
23,77054,0,258,2016-09-14T21:24:14,13.2,98,14.8,3,0.0
23,77708,0,258,2016-09-14T21:35:08,13.2,95,14.5,1,0.0
21,78597,0,258,2016-09-14T21:49:57,13.2,95,14.5,1,0.0
23,79134,0,258,2016-09-14T21:58:54,13.2,95,14.5,1,0.0
24,79702,0,258,2016-09-14T22:08:22,13.2,95,14.5,1,0.0
24,80420,0,258,2016-09-14T22:20:20,13.2,95,14.5,1,0.0
28,81191,0,258,2016-09-14T22:33:11,12.0,94,13.2,3,0.0
30,82208,0,258,2016-09-14T22:50:08,12.0,94,13.2,3,0.0
32,82798,0,258,2016-09-14T22:59:58,12.0,94,13.2,3,0.0
34,83420,0,258,2016-09-14T23:10:20,12.0,94,13.2,3,0.0
37,84256,0,258,2016-09-14T23:24:16,12.0,94,13.2,3,0.0
36,84878,0,258,2016-09-14T23:34:38,12.2,98,13.9,3,0.0
35,85464,0,258,2016-09-14T23:44:24,12.2,98,13.9,3,0.0
35,86068,0,258,2016-09-14T23:54:28,12.2,98,13.9,3,0.0
